,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
67,Hooked On A Feeling,Blue Swede,classic swedish pop,2014,2023‑05‑02,118,82,55,-7,30,93,173,26,8,69
68,(What A) Wonderful World,Sam Cooke,classic soul,2000,2023‑05‑02,129,51,69,-10,46,89,125,63,3,69
69,Do You Realize??,The Flaming Lips,alternative rock,2002,2023‑05‑02,130,80,46,-5,39,55,213,1,3,68
70,Stuck In The Middle With You,Stealers Wheel,folk rock,2009,2023‑05‑02,124,56,80,-10,6,96,204,9,4,68
71,Beautiful Day,U2,irish rock,2000,2023‑05‑02,136,93,54,-6,36,45,246,1,5,68
72,Rich Girl,Daryl Hall & John Oates,album rock,2005,2023‑05‑02,168,64,60,-6,4,82,144,50,13,68
73,Upside Down,Jack Johnson,neo mellow,2006,2023‑05‑02,102,66,79,-8,14,65,209,24,4,67
74,Solsbury Hill,Peter Gabriel,album rock,1977,2023‑05‑02,102,63,68,-9,31,48,261,36,3,67
75,Jump in the Line,Harry Belafonte,calypso,1961,2023‑05‑02,116,89,59,-8,12,80,222,77,25,67
76,Should I Stay or Should I Go - Remastered,The Clash,alternative rock,2013,2023‑05‑02,113,84,74,-6,42,85,188,8,11,65
77,Piano Man,Billy Joel,album rock,1973,2023‑05‑02,179,48,33,-9,31,41,336,62,3,64
78,Lovely Day,Bill Withers,funk,1994,2023‑05‑02,98,56,69,-13,8,69,255,19,3,64
79,Good Vibrations - Remastered 2001,The Beach Boys,baroque pop,2006,2023‑05‑02,133,50,40,-7,15,38,218,39,3,64
80,Tainted Love,Soft Cell,new romantic,1981,2023‑05‑02,144,45,54,-10,58,63,154,56,4,62
