,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
81,As the World Caves In,Sarah Cothran,gen z singer-songwriter,2023,2023‑09‑08,124,25,42,-7,35,25,162,44,4,15
82,Still Alive,Maximillian,gen z singer-songwriter,2020,2023‑09‑08,75,37,51,-10,43,49,192,27,5,2
83,London Is Lonely,Holly Humberstone,alt z,2023,2023‑09‑08,143,43,48,-7,34,11,235,76,5,12
84,Seventeen Going Under,Sam Fender,modern rock,2022,2023‑09‑08,162,87,48,-5,8,61,302,0,4,3
85,Fingers Crossed,Lauren Spencer Smith,alt z,2022,2023‑09‑08,109,47,56,-7,31,44,175,62,5,7
86,Ripples,Maximillian,gen z singer-songwriter,2020,2023‑09‑08,130,35,68,-9,28,45,195,68,8,2
87,I'll Be Waiting,Cian Ducrot,irish pop,2023,2023‑09‑08,156,64,52,-4,8,56,173,35,4,18
88,Hold On,Chord Overstreet,acoustic pop,2023,2023‑09‑08,120,44,61,-10,8,17,199,47,5,17
89,You Are The Reason,Calum Scott,pop,2021,2023‑09‑08,171,24,33,-8,14,22,204,92,3,1
90,The Mess I Made,Parachute,acoustic pop,2020,2023‑09‑08,165,58,39,-5,16,18,231,2,4,2
91,Walked Through Hell,Anson Seabra,alt z,2023,2023‑09‑08,82,40,51,-11,10,13,217,66,8,16
92,You Are The Reason,Calum Scott,pop,2023,2023‑09‑08,171,24,33,-8,14,22,204,92,3,21
93,In My Mind,Lyn Lapid,gen z singer-songwriter,2021,2023‑09‑08,136,38,65,-12,36,29,163,74,5,1
94,Apologize,OneRepublic,piano rock,2020,2023‑09‑08,118,73,59,-6,11,49,205,41,4,11
95,Feels Like,Gracie Abrams,alt z,2023,2023‑09‑08,145,48,62,-7,12,18,152,70,5,15
96,Anyway,Noah Kahan,pov: indie,2021,2023‑09‑08,134,16,65,-11,13,24,312,74,3,5
97,what if i took it off for you?,Nemahsis,,2022,2023‑09‑08,151,24,39,-8,10,21,137,91,3,2
98,Impossible,Shontelle,barbadian pop,2020,2023‑09‑08,90,59,35,-5,10,55,223,42,7,2
99,drivers license,Olivia Rodrigo,pop,2021,2023‑09‑08,144,44,59,-9,11,13,242,72,6,1
100,Lonely,Justin Bieber,canadian pop,2023,2023‑09‑08,79,24,62,-7,12,7,149,90,5,16
101,Mariners Apartment Complex,Lana Del Rey,art pop,2023,2023‑09‑08,76,29,54,-11,11,17,246,80,3,16
102,if this is the last time,LANY,la pop,2021,2023‑09‑08,148,59,57,-8,20,43,204,2,4,2
103,Broken,Jake Bugg,modern rock,2020,2023‑09‑08,120,41,43,-10,12,21,245,37,3,1
104,could cry just thinkin about you - Full Version,Troye Sivan,australian pop,2023,2023‑09‑08,148,32,52,-11,11,19,158,32,4,13
105,Remember - Acoustic / Sped Up,Becky Hill,pop dance,2023,2023‑09‑08,137,51,60,-7,10,56,154,85,6,19
106,everything i wanted - Prime Day Show x Billie Eilish,Billie Eilish,art pop,2023,2023‑09‑08,120,38,64,-10,16,68,245,86,4,26
107,Unlearn,benny blanco,pop,2021,2023‑09‑08,78,21,43,-12,11,19,155,90,24,0
108,Is It Just Me?,Emily Burns,alt z,2023,2023‑09‑08,145,34,48,-7,10,29,203,69,5,17
109,What A Time,Julia Michaels,pop,2021,2023‑09‑08,133,47,52,-6,9,39,173,66,3,1
110,TV,Billie Eilish,art pop,2022,2023‑09‑08,140,24,41,-15,15,12,281,83,4,13
111,emails i can’t send,Sabrina Carpenter,pop,2023,2023‑09‑08,86,39,52,-11,62,41,104,76,19,16
112,Me And My Broken Heart,Rixton,post-teen pop,2020,2023‑09‑08,87,81,62,-3,17,55,193,1,3,12
113,Somewhere Only We Know,Keane,neo mellow,2020,2023‑09‑08,173,66,19,-6,98,26,248,1,3,5
114,TV,Billie Eilish,art pop,2023,2023‑09‑08,140,24,41,-15,15,12,281,83,4,23
115,Fingers Crossed,Lauren Spencer Smith,alt z,2023,2023‑09‑08,109,47,56,-7,31,44,175,62,5,14
116,Make It To Me,Sam Smith,pop,2021,2023‑09‑08,75,38,40,-8,10,24,163,61,13,3
117,Teenage Tears,Arkells,canadian rock,2022,2023‑09‑08,78,35,65,-10,8,34,202,78,3,3
118,"Read All About It, Pt. III",Emeli Sandé,r&b,2020,2023‑09‑08,98,52,61,-5,9,36,283,80,3,14
119,Say You Love Me,Jessie Ware,british soul,2020,2023‑09‑08,174,46,45,-7,24,27,257,15,5,2
120,London Is Lonely,Holly Humberstone,alt z,2022,2023‑09‑08,143,43,48,-7,34,11,235,76,5,2
121,Lonely,Justin Bieber,canadian pop,2021,2023‑09‑08,79,24,62,-7,12,7,149,90,5,4
122,Make You Mine - Acoustic,PUBLIC,indie rockism,2023,2023‑09‑08,98,39,72,-9,14,47,209,76,3,16
123,It'll Be Okay,Shawn Mendes,canadian pop,2022,2023‑09‑08,78,26,38,-12,9,5,223,64,3,8
124,All For You,Cian Ducrot,irish pop,2023,2023‑09‑08,103,29,60,-8,10,35,221,81,4,14
125,Haunted House,Holly Humberstone,alt z,2021,2023‑09‑08,128,27,37,-9,10,24,133,87,4,6
126,Perfectly Wrong,Shawn Mendes,canadian pop,2022,2023‑09‑08,89,31,36,-12,10,32,213,87,4,4
127,How Long Will I Love You,Ellie Goulding,indietronica,2020,2023‑09‑08,126,32,45,-9,14,18,149,26,3,3
128,I Lied,Lord Huron,indie folk,2021,2023‑09‑08,104,27,44,-11,13,14,234,91,3,7
129,Oblivion,Bastille,metropopolis,2020,2023‑09‑08,79,32,39,-9,43,22,196,74,3,3
130,People Watching,Conan Gray,bedroom pop,2022,2023‑09‑08,126,59,53,-7,31,54,159,39,5,9
131,Family Line,Conan Gray,bedroom pop,2023,2023‑09‑08,154,40,33,-8,10,28,216,62,5,22
132,Camden,Gracie Abrams,alt z,2023,2023‑09‑08,126,26,65,-13,16,42,246,95,4,16
133,comethru,Jeremy Zucker,alt z,2023,2023‑09‑08,94,18,80,-12,62,63,182,60,6,14
134,Losing You,Aquilo,indie anthem-folk,2020,2023‑09‑08,77,44,38,-9,9,21,206,63,4,1
135,Hunger,Florence + The Machine,baroque pop,2023,2023‑09‑08,116,68,73,-6,10,33,215,53,4,13
136,Wolves,Azure Ryder,,2021,2023‑09‑08,96,21,59,-9,10,41,164,88,4,1
137,IDK You Yet,Alexander 23,alt z,2023,2023‑09‑08,154,31,59,-12,12,20,185,88,4,14
138,You Make It Real,James Morrison,neo mellow,2020,2023‑09‑08,84,57,32,-5,12,31,212,25,3,9
139,Before You Go,Lewis Capaldi,pop,2023,2023‑09‑08,112,57,46,-5,9,18,215,61,6,23
140,How Do I Say Goodbye,Dean Lewis,australian pop,2022,2023‑09‑08,82,64,40,-6,7,39,164,21,7,6
141,You & Jennifer,bülow,alt z,2021,2023‑09‑08,132,70,75,-7,21,35,159,52,31,1
142,I'm Not Calling You A Liar,Florence + The Machine,baroque pop,2020,2023‑09‑08,118,51,44,-5,28,35,185,37,7,2
143,Hotel,Montell Fish,pittsburgh rap,2022,2023‑09‑08,180,43,23,-9,59,19,197,75,4,19
144,Astronomy,Conan Gray,bedroom pop,2022,2023‑09‑08,145,34,47,-9,31,15,244,58,3,15
