,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
58,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,scandipop,2021,2022‑12‑01,110,67,72,-5,9,70,161,0,3,78
59,Meet Me At Our Spot,THE ANXIETY,modern alternative pop,2020,2022‑12‑01,95,47,77,-8,9,40,163,2,3,78
60,All Too Well (Taylor's Version),Taylor Swift,pop,2021,2022‑12‑01,186,53,44,-8,23,13,329,2,3,78
61,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,movie tunes,2021,2022‑12‑01,206,45,58,-9,11,83,216,36,8,77
62,One Right Now (with The Weeknd),Post Malone,dfw rap,2021,2022‑12‑01,97,78,69,-5,8,69,194,4,5,77
63,pushin P (feat. Young Thug),Gunna,atl hip hop,2022,2022‑12‑01,78,42,77,-5,13,49,136,1,19,77
64,Fancy Like,Walker Hayes,contemporary country,2022,2022‑12‑01,80,77,65,-6,32,86,162,11,6,76
65,Numb Little Bug,Em Beihold,alt z,2022,2022‑12‑01,85,53,74,-7,25,64,169,33,8,75
66,Surface Pressure,Jessica Darrow,movie tunes,2021,2022‑12‑01,180,58,65,-8,4,37,202,2,31,75
67,Hrs & Hrs,Muni Long,indie r&b,2022,2022‑12‑01,137,55,52,-5,11,63,204,58,21,75
68,Super Gremlin,Kodak Black,florida drill,2021,2022‑12‑01,73,41,83,-7,36,11,201,0,14,74
69,Sweetest Pie,Megan Thee Stallion,houston rap,2022,2022‑12‑01,124,63,81,-7,10,68,201,17,22,74
70,Big Energy,Latto,trap queen,2021,2022‑12‑01,106,81,94,-4,35,81,173,5,11,73
71,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,2022‑12‑01,150,63,34,-7,7,35,241,16,4,73
72,5 Foot 9,Tyler Hubbard,contemporary country,2022,2022‑12‑01,106,80,60,-6,13,53,190,15,5,73
73,Broadway Girls (feat. Morgan Wallen),Lil Durk,chicago drill,2021,2022‑12‑01,75,75,66,-4,30,54,186,4,3,73
74,she's all i wanna be,Tate McRae,alt z,2022,2022‑12‑01,160,64,61,-5,12,65,207,1,4,73
75,Flower Shops (feat. Morgan Wallen),ERNEST,modern country pop,2021,2022‑12‑01,128,46,53,-6,8,23,214,12,3,73
76,BREAK MY SOUL,Beyoncé,pop,2022,2022‑12‑01,115,89,69,-5,27,85,278,6,8,72
77,I Hate U,SZA,pop,2021,2022‑12‑01,107,39,54,-10,11,41,174,51,16,72
78,Fingers Crossed,Lauren Spencer Smith,alt z,2022,2022‑12‑01,109,47,56,-7,31,44,175,62,5,72
79,Take My Name,Parmalee,contemporary country,2021,2022‑12‑01,164,66,56,-4,19,57,158,22,5,72
80,What Happened To Virgil (feat. Gunna),Lil Durk,chicago drill,2022,2022‑12‑01,140,53,80,-9,13,19,181,7,20,72
81,TO THE MOON,JNR CHOI,gambian hip hop,2021,2022‑12‑01,144,65,75,-12,11,39,152,5,35,72
82,Til You Can't,Cody Johnson,classic texas country,2021,2022‑12‑01,160,81,51,-5,11,50,225,6,4,70
83,In A Minute,Lil Baby,atl hip hop,2022,2022‑12‑01,84,61,64,-6,11,14,200,3,30,69
84,Like I Love Country Music,Kane Brown,black americana,2022,2022‑12‑01,125,82,54,-6,6,70,234,0,4,68
85,Smokin Out The Window,Bruno Mars,dance pop,2021,2022‑12‑01,82,62,63,-9,35,85,197,6,4,67
86,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,2022‑12‑01,67,47,59,-9,51,90,126,61,5,67
87,Essence (feat. Justin Bieber & Tems),Wizkid,afrobeats,2021,2022‑12‑01,104,69,84,-6,11,58,263,2,11,66
88,Jingle Bell Rock,Bobby Helms,,1957,2022‑12‑01,120,42,75,-8,7,81,131,64,4,66
89,She Likes It (feat. Jake Scott),Russell Dickerson,contemporary country,2021,2022‑12‑01,127,33,79,-12,16,54,163,51,13,66
90,Trouble With A Heartbreak,Jason Aldean,contemporary country,2022,2022‑12‑01,136,80,58,-5,13,60,196,23,3,65
91,One Mississippi,Kane Brown,black americana,2021,2022‑12‑01,100,85,47,-5,14,54,214,0,4,65
92,Last Night Lonely,Jon Pardi,contemporary country,2022,2022‑12‑01,103,82,65,-3,18,87,182,0,3,64
93,Doin' This,Luke Combs,contemporary country,2021,2022‑12‑01,115,55,59,-6,11,39,254,18,3,63
94,AA,Walker Hayes,contemporary country,2021,2022‑12‑01,104,75,64,-6,35,75,190,0,3,62
95,Damn Strait,Scotty McCreery,contemporary country,2021,2022‑12‑01,144,64,52,-6,7,48,230,5,3,61
96,THATS WHAT I WANT,Lil Nas X,lgbtq+ hip hop,2021,2022‑12‑01,176,87,65,-5,5,61,144,1,35,59
97,A Holly Jolly Christmas,Burl Ives,adult standards,1965,2022‑12‑01,140,38,68,-13,8,89,136,58,3,59
98,Never Say Never (with Lainey Wilson),Cole Swindell,contemporary country,2021,2022‑12‑01,140,94,47,-4,11,45,176,1,6,59
99,Circles Around This Town,Maren Morris,classic texas country,2022,2022‑12‑01,150,81,59,-5,12,82,196,2,5,54
100,She Had Me At Heads Carolina,Cole Swindell,contemporary country,2022,2022‑12‑01,135,91,61,-3,33,72,206,12,6,29
