,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
60,Pour toujours,Bernadette Boulet,background piano,2021,2023‑09‑05,165,6,23,-29,10,31,145,99,5,47
61,Solace,Lucile Colbert,background piano,2023,2023‑09‑05,142,13,40,-27,11,44,124,98,5,46
62,To Be Loved,Day Blue,,2022,2023‑09‑05,111,4,55,-27,11,24,152,99,3,46
63,Fristad,Domi Nova,background piano,2021,2023‑09‑05,109,21,41,-28,10,62,158,100,4,46
64,After The Rain,Dario Crisman,neo-classical,2021,2023‑09‑05,136,4,37,-23,14,8,149,99,4,46
65,Once Before,Franz Gordon,background music,2021,2023‑09‑05,142,3,36,-27,11,14,197,99,4,46
66,Onthou,Ever So Blue,background piano,2020,2023‑09‑05,138,5,31,-28,11,41,128,100,3,46
67,Nordic Dream,Anders Linros,,2021,2023‑09‑05,115,4,39,-23,11,21,142,99,5,46
68,Presque l'amour,Roland Toubin,,2020,2023‑09‑05,110,3,44,-26,10,20,143,99,4,46
69,Freedom,Ron Adelaar,,2023,2023‑09‑05,81,6,52,-25,12,26,127,100,4,45
70,Spring,Anna Sofia Nord,,2021,2023‑09‑05,78,3,49,-28,16,18,123,100,6,45
71,Con Le Zampe,Pied-à-Terre,background piano,2021,2023‑09‑05,205,7,23,-24,11,25,154,99,4,45
72,Blessed Days,Xie Qi,background piano,2021,2023‑09‑05,161,7,33,-21,11,7,127,97,4,45
73,Prozatím,Zuzana Kudová,background piano,2020,2023‑09‑05,102,7,37,-29,14,32,124,100,4,45
74,Prelude to Elegance,Paul Barber,,2023,2023‑09‑05,106,2,44,-27,13,13,120,99,4,44
75,My Adored,Otis Son,,2023,2023‑09‑05,108,2,46,-33,12,26,254,99,3,44
76,Secret Admirer,Carl Easterling,,2023,2023‑09‑05,72,7,37,-30,11,83,128,99,4,44
77,Australia,Aquilegia,,2023,2023‑09‑05,142,2,40,-26,9,45,143,99,4,44
78,Butterflies,Colias Fieldii,,2022,2023‑09‑05,121,3,39,-30,11,37,127,99,7,44
79,Con el tiempo todo se consigue,Claribel Ramón,background piano,2020,2023‑09‑05,205,9,31,-24,9,21,156,100,7,44
80,Creeks,Lilly Eaton,background piano,2021,2023‑09‑05,124,5,49,-32,11,62,153,99,4,44
81,Lucie,Wings for Louise,neo-classical,2021,2023‑09‑05,83,2,19,-29,11,12,137,99,4,44
82,Island,Dean Caplan,,2020,2023‑09‑05,203,7,29,-28,12,51,147,99,5,44
83,Something Like Love,James Keer,background piano,2020,2023‑09‑05,125,4,45,-31,10,16,162,100,6,44
84,Brothers,Christian Janssen,background piano,2023,2023‑09‑05,81,3,30,-24,10,21,163,99,4,43
